c0,c1,org,category,name,city,address,zip,link,linkType
-82.578646,35.578055,BattleCat Coffee Bar,Food and drink,BattleCat Coffee Bar,Asheville,373 Haywood Rd,28806,,
-82.5641339,35.5810667,PennyCup Coffee Co,Food and drink,PennyCup Coffee Co,Asheville,362 Depot St #202,28801,,
-82.5500411,35.5938278,PennyCup at the YMI,Food and drink,PennyCup at the YMI,Asheville,39 S Market St,28801,,
-82.610547,35.5777679,Frostbite Ice Cream,Food and drink,Frostbite Ice Cream,Asheville,1475 Patton Ave,28806,,
-82.5527469,35.6065055,Unification Tattoo Parlour,Arts and entertainment,Unification Tattoo Parlour,Asheville,211 Merrimon Ave #251,28801,,
-82.5558349,35.5946263,Trade & Lore Coffee,Food and drink,Trade & Lore Coffee,Asheville,37 Wall St,28801,,
-81.6835445,36.219076,Lost Province Brewing Co.,Brewery,Lost Province Brewing Co.,Boone,130 N Depot St,28607,https://www.facebook.com/lostprovincebrewingco/photos/a.1471844189693958.1073741830.1419802401564804/1697245273820514/?type=3&theater,facebook
-79.4282524,36.0683413,Outlet Video & News,Shopping,Outlet Video & News,Burlington,2223 Maple Ave,27215,,
-82.6640525,35.5453802,Hero Hunter Comics,Shopping,Hero Hunter Comics,Candler,1107 Smokey Park Hwy,28715,,
-77.8979285,34.0457489,Flaming Amy's Burrito Barn,Food and drink,Flaming Amy's Burrito Barn,Carolina Beach,1140 N Lake Park Blvd,28428,,
-79.0726148,35.9098546,Steel String Brewery,Brewery,Steel String Brewery,Carrboro,106 S Greensboro St,27510,,
-79.0762727,35.9105296,Personalized Fitness,Health and wellness,Personalized Fitness,Carrboro,205 W Main St #102,27510,,
-79.067437,35.9104584,Cameron's,Shopping,Cameron's,Carrboro,370 E Main St #130,27510,https://www.instagram.com/p/BDWFzGtBefV/?taken-by=cameronsgiftgallery,instagram
-79.0720496,35.909795,Open Eye Cafe,Food and drink,Open Eye Cafe,Carrboro,101 S Greensboro St,27510,,
-79.0715629,35.910692,Market Street Coffee,Food and drink,Market Street Coffee - Carrboro,Carrboro,100 E Weaver St,27510,,
-79.07152,35.910683,The Beehive,Beauty and spas,The Beehive,Carrboro,102 E Weaver St,27510,,
-79.0816515,35.9115942,Unorthodoc,Health and wellness,Unorthodoc,Carrboro,127 Fidelity St,27510,https://www.facebook.com/permalink.php?story_fbid=1067146803344655&id=171549539571057,facebook
-79.0716049,35.9110867,Weaver Street Market,Grocery,Weaver Street Market,Carrboro,101 E Weaver St,27510,https://www.facebook.com/weaverstreet/posts/10154721066714418,facebook
-79.0708835,35.9103912,Acme Food & Beverage Co,Food and drink,Acme Food & Beverage Co,Carrboro,110 E Main St,27510,,
-79.0554657,35.9135734,Sup Dogs,Food and drink,Sup Dogs - Chapel Hill,Chapel Hill,107 E Franklin St,27514,https://www.instagram.com/p/BDZQn47mnyp/,instagram
-79.0625191,35.9107463,The Cave,Arts and entertainment,The Cave,Chapel Hill,452 W Franklin St,27516,https://www.instagram.com/p/BDbGX7cJ23I/,instagram
-79.064362,35.9105269,Syd's Hair Shop Inc,Beauty and spas,Syd's Hair Shop Inc,Chapel Hill,106 N Graham St,27516,https://www.instagram.com/p/BDYlV_FD4eu/,instagram
-79.0527733,35.9144651,Linda's Bar & Grill,Food and drink,Linda's Bar & Grill,Chapel Hill,203 E Franklin St,27514,https://www.instagram.com/p/BDY_R_mGxVl/?taken-by=lindasbarandgrill,instagram
-79.0271967,35.9327624,Market Street Coffee,Food and drink,Market Street Coffee - Elliott Rd,Chapel Hill,227 S Elliott Rd,27514,,
-79.0107771,35.9054316,Market Street Coffee,Food and drink,Market Street Coffee - Meadowmont Village,Chapel Hill,503 Meadowmont Village Cir,27517,,
-79.0584895,35.9495319,Market Street Coffee,Food and drink,Market Street Coffee - Homestead Rd,Chapel Hill,2805 Homestead Rd,27516,,
